"","20634274.G","24664996.G","35592862.G","55583441.G","21000216.G","24073245.G","1797756.G","17260313.G","94549523.G","38056377.G"
"ENSG00000124299",51.2752,54.6347,42.4867,64.172,74.2567,77.7126,56.5445,45.1007,5.56945,49.1626
"ENSG00000201569",0,0,0,0,0,0,0,0,0,0
"ENSG00000256353",0,0,0,0,0,0,0,0,0,0
"ENSG00000102383",0.220406,2.08146,0.222632,0,0,0.231704,0.0896106,0.0992756,0,0.6343
"ENSG00000137821",0,6.44364,0.268995,0,0,1.896,0.854811,0.975699,37.1455,0.342382
"ENSG00000224159",0,2.97767,0,0,0,0,0,0,0,0.143248
"ENSG00000171360",0,4.82618,0,0,0,0,0,0.0450488,0,0
"ENSG00000214070",0.305723,1.21031,0.170426,0,0,0.190068,0.41487,0.234303,0,0.154318
"ENSG00000253682",0,0.584925,0,0,0,0,0,0,0,0
"ENSG00000232965",0,0,0,0,0,0,0,0,17.4651,0.788315
"ENSG00000243075",0,19.4156,0,0,0,0,0,0,0,0
"ENSG00000264079",0,0,0,0,0,0,0,0,0,0
"ENSG00000198974",0,0,0,0,0,0,0,0,0,0
"ENSG00000203950",70.2594,70.4068,67.4973,100.597,125.607,78.2637,61.6306,86.8049,75.2844,71.6618
"ENSG00000231173",0,0,0,0,0,0,0,0,0,0
"ENSG00000268615",0,0,0,0,0,25.7057,0,0,0,0
"ENSG00000171222",29.3472,17.8271,39.1453,36.4106,53.7958,46.3527,29.5342,31.4671,9.15363,29.9984
"ENSG00000264108",0,0,0,0,0,0,0,0,0,0
"ENSG00000251792",0,0,0,0,0,0,0,0,0,0
"ENSG00000241367",0,3.4609,0,0,0,0,0,0,0,0
"ENSG00000199652",0,0,0,0,0,0,0,0,0,0
"ENSG00000181450",6.20412,7.80188,6.68274,12.1823,39.7372,17.6282,4.26972,19.8477,4.15448,8.68695
"ENSG00000189108",0.133515,1.03831,0.149507,0,0,0,0.0602553,0,0,0.0909406
"ENSG00000130227",9.43065,16.6332,11.6837,29.7521,5.00298,8.0405,9.74956,13.4699,36.0737,14.8311
